intervention_id;devis_id;date_intervention;mois;exercice;technicien_id;technicien;agence;categorie;heures_devisees;heures_reelles;cout_horaire;cout_main_oeuvre;cout_materiel;statut_intervention
INT-00163;DEV-00384;2023-05-12;2023-05;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;5.8;6.2;31.0;192.2;597.7;Terminée
INT-00164;DEV-00386;2023-05-12;2023-05;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;41.2;40.0;33.0;1320.0;4731.04;Terminée
INT-00165;DEV-00387;2023-05-11;2023-05;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Dépannage;3.1;3.1;33.0;102.3;261.97;Terminée
INT-00166;DEV-00388;2023-05-31;2023-05;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;0.9;0.9;35.0;31.5;136.96;Terminée
INT-00167;DEV-00389;2023-06-15;2023-06;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Salle de bain;33.4;27.8;36.0;1000.8;3367.24;Terminée
INT-00168;DEV-00391;2023-05-23;2023-05;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Dépannage;1.5;1.7;30.0;51.0;84.68;Terminée
INT-00169;DEV-00393;2023-06-12;2023-06;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;1.8;1.6;35.0;56.0;177.79;Terminée
INT-00170;DEV-00394;2023-05-10;2023-05;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;14.0;15.4;30.0;462.0;1770.71;Terminée
INT-00171;DEV-00397;2023-06-05;2023-06;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;16.5;16.5;32.0;528.0;1558.94;Terminée
INT-00172;DEV-00399;2023-06-02;2023-06;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;17.1;16.8;31.0;520.8;1677.08;Terminée
INT-00173;DEV-00405;2023-05-23;2023-05;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;29.4;24.7;35.0;864.5;11669.33;Terminée
INT-00174;DEV-00406;2023-06-26;2023-06;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;24.8;21.6;32.0;691.2;2739.66;Terminée
INT-00175;DEV-00407;2023-06-05;2023-06;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;5.9;5.7;31.0;176.7;787.75;Terminée
INT-00176;DEV-00408;2023-06-13;2023-06;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;24.4;27.5;30.0;825.0;3317.24;Terminée
INT-00177;DEV-00409;2023-05-25;2023-05;2022-2023;TEC-08;Elodie Ravel;Toulouse;Dépannage;1.8;1.8;32.0;57.6;260.48;Terminée
INT-00178;DEV-00410;2023-07-14;2023-07;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;1.0;1.0;35.0;35.0;164.52;Terminée
INT-00179;DEV-00414;2023-05-25;2023-05;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;9.9;9.0;32.0;288.0;2144.7;Terminée
INT-00180;DEV-00415;2023-06-21;2023-06;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;1.8;1.7;32.0;54.4;149.61;Terminée
INT-00181;DEV-00417;2023-05-31;2023-05;2022-2023;TEC-08;Elodie Ravel;Toulouse;Salle de bain;18.4;20.9;32.0;668.8;2782.29;Terminée
INT-00182;DEV-00420;2023-06-26;2023-06;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;4.0;3.7;36.0;133.2;299.48;Terminée
INT-00183;DEV-00422;2023-07-10;2023-07;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;5.5;5.0;33.0;165.0;1362.37;Terminée
INT-00184;DEV-00425;2023-06-02;2023-06;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;26.3;25.5;32.0;816.0;3418.39;Terminée
INT-00185;DEV-00430;2023-06-26;2023-06;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;4.6;4.2;32.0;134.4;639.21;Terminée
INT-00186;DEV-00433;2023-06-26;2023-06;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;4.1;4.4;30.0;132.0;546.17;Terminée
INT-00187;DEV-00434;2023-07-25;2023-07;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;18.0;18.6;31.0;576.6;1743.16;Terminée
INT-00188;DEV-00435;2023-06-13;2023-06;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;13.1;11.9;32.0;380.8;1556.24;Terminée
INT-00189;DEV-00436;2023-06-14;2023-06;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Dépannage;1.5;1.4;32.0;44.8;120.13;Terminée
INT-00190;DEV-00437;2023-06-05;2023-06;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;3.9;3.9;36.0;140.4;230.21;Terminée
INT-00191;DEV-00439;2023-07-21;2023-07;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;5.7;5.9;31.0;182.9;1017.1;Terminée
INT-00192;DEV-00440;2023-06-20;2023-06;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Dépannage;2.3;2.3;33.0;75.9;130.15;Terminée
INT-00193;DEV-00441;2023-07-10;2023-07;2023-2024;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;2.1;2.4;30.0;72.0;310.25;Terminée
INT-00194;DEV-00445;2023-06-19;2023-06;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Dépannage;1.6;1.8;30.0;54.0;234.53;Terminée
INT-00195;DEV-00446;2023-07-20;2023-07;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Plomberie;13.3;13.0;32.0;416.0;3322.22;Terminée
INT-00196;DEV-00450;2023-06-05;2023-06;2022-2023;TEC-08;Elodie Ravel;Toulouse;Salle de bain;6.1;6.5;32.0;208.0;586.04;Terminée
INT-00197;DEV-00451;2023-06-26;2023-06;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Salle de bain;29.2;29.7;30.0;891.0;3794.99;Terminée
INT-00198;DEV-00455;2023-07-05;2023-07;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;6.9;6.3;33.0;207.9;1714.63;Terminée
INT-00199;DEV-00456;2023-07-04;2023-07;2023-2024;TEC-08;Elodie Ravel;Toulouse;Électricité;16.7;18.9;32.0;604.8;1499.28;Terminée
INT-00200;DEV-00466;2023-07-11;2023-07;2023-2024;TEC-08;Elodie Ravel;Toulouse;Salle de bain;5.6;6.5;32.0;208.0;670.16;Terminée
INT-00201;DEV-00468;2023-07-27;2023-07;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Plomberie;13.9;14.5;32.0;464.0;1683.81;Terminée
INT-00202;DEV-00471;2023-06-30;2023-06;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;12.7;13.1;30.0;393.0;1816.81;Terminée
INT-00203;DEV-00474;2023-06-28;2023-06;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;4.4;4.9;30.0;147.0;789.75;Terminée
INT-00204;DEV-00475;2023-08-03;2023-08;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Salle de bain;5.2;5.1;36.0;183.6;640.33;Terminée
INT-00205;DEV-00478;2023-07-24;2023-07;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Plomberie;13.4;12.0;32.0;384.0;1703.18;Terminée
INT-00206;DEV-00479;2023-07-03;2023-07;2023-2024;TEC-08;Elodie Ravel;Toulouse;Électricité;7.9;8.6;32.0;275.2;1799.12;Terminée
INT-00207;DEV-00483;2023-07-10;2023-07;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;14.7;15.0;33.0;495.0;2864.75;Terminée
INT-00208;DEV-00486;2023-07-31;2023-07;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Chauffage;12.2;11.7;36.0;421.2;2464.62;Terminée
INT-00209;DEV-00489;2023-08-09;2023-08;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Plomberie;4.1;3.9;32.0;124.8;619.9;Terminée
INT-00210;DEV-00490;2023-07-31;2023-07;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Dépannage;1.6;1.5;32.0;48.0;95.36;Terminée
INT-00211;DEV-00491;2023-08-08;2023-08;2023-2024;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;2.1;2.3;30.0;69.0;302.88;Terminée
INT-00212;DEV-00492;2023-07-26;2023-07;2023-2024;TEC-08;Elodie Ravel;Toulouse;Salle de bain;46.2;54.1;32.0;1731.2;11110.97;Terminée
INT-00213;DEV-00496;2023-08-16;2023-08;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;31.3;30.5;35.0;1067.5;9131.07;Terminée
INT-00214;DEV-00499;2023-08-08;2023-08;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;6.0;6.1;31.0;189.1;1045.78;Terminée
INT-00215;DEV-00500;2023-08-04;2023-08;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Salle de bain;5.6;5.1;36.0;183.6;552.06;Terminée
INT-00216;DEV-00504;2023-09-04;2023-09;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Dépannage;1.6;1.6;33.0;52.8;102.19;Terminée
INT-00217;DEV-00505;2023-07-25;2023-07;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Salle de bain;17.1;16.0;36.0;576.0;1959.42;Terminée
INT-00218;DEV-00506;2023-08-07;2023-08;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;4.9;5.0;33.0;165.0;773.92;Terminée
INT-00219;DEV-00507;2023-07-31;2023-07;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Dépannage;1.6;1.4;36.0;50.4;125.11;Terminée
INT-00220;DEV-00509;2023-08-18;2023-08;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Dépannage;2.0;2.0;32.0;64.0;102.7;Terminée
INT-00221;DEV-00510;2023-08-10;2023-08;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;5.7;5.4;33.0;178.2;742.13;Terminée
INT-00222;DEV-00513;2023-07-31;2023-07;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;0.9;0.8;35.0;28.0;75.64;Terminée
INT-00223;DEV-00520;2023-08-21;2023-08;2023-2024;TEC-08;Elodie Ravel;Toulouse;Électricité;37.7;37.2;32.0;1190.4;4939.79;Terminée
INT-00224;DEV-00522;2023-09-19;2023-09;2023-2024;TEC-08;Elodie Ravel;Toulouse;Électricité;6.8;7.1;32.0;227.2;810.35;Terminée
INT-00225;DEV-00523;2023-08-30;2023-08;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;6.0;5.6;31.0;173.6;498.48;Terminée
INT-00226;DEV-00525;2023-08-23;2023-08;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Plomberie;2.2;2.2;32.0;70.4;240.77;Terminée
INT-00227;DEV-00528;2023-08-18;2023-08;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Dépannage;2.8;2.4;32.0;76.8;337.79;Terminée
INT-00228;DEV-00532;2023-08-22;2023-08;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Plomberie;15.5;14.9;32.0;476.8;2400.87;Terminée
INT-00229;DEV-00535;2023-08-15;2023-08;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;40.6;39.4;31.0;1221.4;5991.39;Terminée
INT-00230;DEV-00536;2023-08-23;2023-08;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Plomberie;2.0;2.1;32.0;67.2;145.96;Terminée
INT-00231;DEV-00542;2023-09-21;2023-09;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Salle de bain;5.1;4.6;36.0;165.6;519.92;Terminée
INT-00232;DEV-00544;2023-08-29;2023-08;2023-2024;TEC-08;Elodie Ravel;Toulouse;Salle de bain;16.2;18.1;32.0;579.2;3483.57;Terminée
INT-00233;DEV-00546;2023-09-11;2023-09;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Chauffage;31.0;25.6;36.0;921.6;7262.77;Terminée
INT-00234;DEV-00550;2023-08-21;2023-08;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Dépannage;4.2;4.1;33.0;135.3;185.09;Terminée
INT-00235;DEV-00551;2023-09-07;2023-09;2023-2024;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;5.1;5.5;30.0;165.0;953.95;Terminée
INT-00236;DEV-00554;2023-09-04;2023-09;2023-2024;TEC-08;Elodie Ravel;Toulouse;Électricité;4.8;4.6;32.0;147.2;599.69;Terminée
INT-00237;DEV-00555;2023-09-19;2023-09;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;44.6;48.5;33.0;1600.5;4624.17;Terminée
INT-00238;DEV-00559;2023-08-29;2023-08;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Dépannage;1.1;0.9;36.0;32.4;82.38;Terminée
INT-00239;DEV-00561;2023-09-25;2023-09;2023-2024;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;2.2;2.2;30.0;66.0;267.13;Terminée
INT-00240;DEV-00568;2023-09-14;2023-09;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;42.5;38.8;33.0;1280.4;10138.09;Terminée
INT-00241;DEV-00569;2023-08-28;2023-08;2023-2024;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;1.9;1.8;30.0;54.0;288.86;Terminée
INT-00242;DEV-00572;2023-09-12;2023-09;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Salle de bain;51.1;43.5;36.0;1566.0;9004.58;Terminée
INT-00243;DEV-00573;2023-09-21;2023-09;2023-2024;TEC-04;Lucas Bertin;Bordeaux;Dépannage;1.8;2.5;27.0;67.5;122.34;Terminée
INT-00244;DEV-00574;2023-10-05;2023-10;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;26.8;24.2;35.0;847.0;7488.15;Terminée
INT-00245;DEV-00578;2023-10-06;2023-10;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;1.8;1.7;35.0;59.5;250.56;Terminée
INT-00246;DEV-00581;2023-09-21;2023-09;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Plomberie;1.9;1.9;32.0;60.8;327.38;Terminée
INT-00247;DEV-00583;2023-09-26;2023-09;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;7.4;7.3;33.0;240.9;1272.33;Terminée
INT-00248;DEV-00587;2023-09-11;2023-09;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;5.6;6.1;33.0;201.3;1340.76;Terminée
INT-00249;DEV-00588;2023-10-11;2023-10;2023-2024;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;4.9;4.9;30.0;147.0;1547.18;Terminée
INT-00250;DEV-00589;2023-09-18;2023-09;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;34.4;33.5;31.0;1038.5;4217.67;Terminée
INT-00251;DEV-00590;2023-09-28;2023-09;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;5.0;5.0;31.0;155.0;587.53;Terminée
INT-00252;DEV-00593;2023-09-28;2023-09;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;16.5;17.7;33.0;584.1;1351.16;Terminée
INT-00253;DEV-00599;2023-10-16;2023-10;2023-2024;TEC-08;Elodie Ravel;Toulouse;Électricité;41.2;45.4;32.0;1452.8;10760.9;Terminée
INT-00254;DEV-00600;2023-10-04;2023-10;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;5.5;5.7;33.0;188.1;793.96;Terminée
INT-00255;DEV-00602;2023-11-03;2023-11;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Dépannage;1.6;1.4;36.0;50.4;100.07;Terminée
INT-00256;DEV-00604;2023-10-05;2023-10;2023-2024;TEC-04;Lucas Bertin;Bordeaux;Dépannage;1.7;2.3;27.0;62.1;120.66;Terminée
INT-00257;DEV-00605;2023-09-18;2023-09;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Dépannage;2.2;2.2;32.0;70.4;292.44;Terminée
INT-00258;DEV-00607;2023-10-09;2023-10;2023-2024;TEC-01;Marc Delaunay;Bordeaux;Dépannage;1.0;1.0;32.0;32.0;98.94;Terminée
INT-00259;DEV-00611;2023-09-29;2023-09;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;1.1;1.1;35.0;38.5;45.98;Terminée
INT-00260;DEV-00613;2023-10-13;2023-10;2023-2024;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;15.1;16.0;30.0;480.0;1409.63;Terminée
INT-00261;DEV-00616;2023-10-09;2023-10;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Dépannage;2.1;2.2;31.0;68.2;121.39;Terminée
INT-00262;DEV-00618;2023-11-06;2023-11;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;5.5;5.2;31.0;161.2;584.27;Terminée
INT-00263;DEV-00620;2023-10-09;2023-10;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;5.3;5.1;31.0;158.1;588.94;Terminée
INT-00264;DEV-00621;2023-10-09;2023-10;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;9.7;9.9;35.0;346.5;1298.81;Terminée
INT-00265;DEV-00623;2023-10-18;2023-10;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;9.4;9.0;35.0;315.0;1424.94;Terminée
INT-00266;DEV-00624;2023-10-31;2023-10;2023-2024;TEC-04;Lucas Bertin;Bordeaux;Dépannage;0.9;1.2;27.0;32.4;72.77;Terminée
INT-00267;DEV-00629;2023-10-25;2023-10;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Salle de bain;17.9;16.7;36.0;601.2;3182.07;Terminée
INT-00268;DEV-00631;2023-10-05;2023-10;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;13.8;13.5;33.0;445.5;1236.51;Terminée
INT-00269;DEV-00634;2023-10-16;2023-10;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Dépannage;1.6;1.4;31.0;43.4;241.49;Terminée
INT-00270;DEV-00636;2023-11-10;2023-11;2023-2024;TEC-04;Lucas Bertin;Bordeaux;Plomberie;25.0;33.3;27.0;899.1;3404.19;Terminée
INT-00271;DEV-00637;2023-11-09;2023-11;2023-2024;TEC-04;Lucas Bertin;Bordeaux;Dépannage;1.7;2.1;27.0;56.7;212.32;Terminée
INT-00272;DEV-00644;2023-11-10;2023-11;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;3.9;3.5;35.0;122.5;337.66;Terminée
INT-00273;DEV-00645;2023-10-30;2023-10;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;50.0;51.2;31.0;1587.2;11381.85;Terminée
INT-00274;DEV-00647;2023-11-03;2023-11;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;0.9;0.8;35.0;28.0;52.7;Terminée
INT-00275;DEV-00648;2023-11-20;2023-11;2023-2024;TEC-08;Elodie Ravel;Toulouse;Électricité;15.7;18.4;32.0;588.8;1816.19;Terminée
INT-00276;DEV-00650;2023-11-10;2023-11;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;5.1;5.2;33.0;171.6;733.55;Terminée
INT-00277;DEV-00653;2023-11-08;2023-11;2023-2024;TEC-04;Lucas Bertin;Bordeaux;Plomberie;5.5;7.3;27.0;197.1;522.19;Terminée
INT-00278;DEV-00656;2023-12-11;2023-12;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;10.1;9.5;35.0;332.5;1195.23;Terminée
INT-00279;DEV-00664;2023-11-27;2023-11;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Dépannage;1.4;1.5;31.0;46.5;131.47;Terminée
INT-00280;DEV-00665;2023-11-15;2023-11;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Dépannage;1.9;1.9;31.0;58.9;126.65;Terminée
INT-00281;DEV-00666;2023-12-04;2023-12;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;5.3;5.4;33.0;178.2;1609.16;Terminée
INT-00282;DEV-00667;2023-11-10;2023-11;2023-2024;TEC-08;Elodie Ravel;Toulouse;Électricité;5.4;5.8;32.0;185.6;810.4;Terminée
INT-00283;DEV-00668;2023-11-17;2023-11;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Chauffage;2.1;1.9;36.0;68.4;102.82;Terminée
INT-00284;DEV-00669;2023-11-28;2023-11;2023-2024;TEC-04;Lucas Bertin;Bordeaux;Plomberie;13.4;17.2;27.0;464.4;3166.5;Terminée
INT-00285;DEV-00670;2023-11-13;2023-11;2023-2024;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;12.7;13.5;30.0;405.0;3298.11;Terminée
INT-00286;DEV-00676;2023-12-05;2023-12;2023-2024;TEC-09;Mehdi Ouali;Toulouse;Dépannage;0.9;1.2;28.0;33.6;142.12;Terminée
INT-00287;DEV-00677;2023-12-21;2023-12;2023-2024;TEC-09;Mehdi Ouali;Toulouse;Dépannage;2.1;2.8;28.0;78.4;135.52;Terminée
INT-00288;DEV-00679;2023-12-15;2023-12;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;5.1;4.5;31.0;139.5;539.14;Terminée
INT-00289;DEV-00681;2023-11-13;2023-11;2023-2024;TEC-04;Lucas Bertin;Bordeaux;Plomberie;28.9;41.0;27.0;1107.0;3469.57;Terminée
INT-00290;DEV-00682;2023-11-02;2023-11;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Salle de bain;17.6;15.3;36.0;550.8;2274.94;Terminée
INT-00291;DEV-00683;2023-12-04;2023-12;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;5.3;4.8;31.0;148.8;661.67;Terminée
INT-00292;DEV-00685;2023-11-27;2023-11;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;0.9;0.8;35.0;28.0;60.02;Terminée
INT-00293;DEV-00687;2023-12-04;2023-12;2023-2024;TEC-09;Mehdi Ouali;Toulouse;Dépannage;1.5;1.7;28.0;47.6;88.39;Terminée
INT-00294;DEV-00688;2023-12-04;2023-12;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;1.4;1.3;35.0;45.5;103.24;Terminée
INT-00295;DEV-00691;2023-12-29;2023-12;2023-2024;TEC-09;Mehdi Ouali;Toulouse;Dépannage;1.0;1.3;28.0;36.4;94.92;Terminée
INT-00296;DEV-00692;2023-12-04;2023-12;2023-2024;TEC-09;Mehdi Ouali;Toulouse;Dépannage;1.9;2.4;28.0;67.2;149.49;Terminée
INT-00297;DEV-00694;2023-12-07;2023-12;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;17.8;19.2;31.0;595.2;1982.63;Terminée
INT-00298;DEV-00695;2023-12-14;2023-12;2023-2024;TEC-04;Lucas Bertin;Bordeaux;Dépannage;1.7;2.0;27.0;54.0;102.0;Terminée
INT-00299;DEV-00696;2023-11-30;2023-11;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;11.3;9.8;35.0;343.0;2294.8;Terminée
INT-00300;DEV-00697;2023-12-21;2023-12;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Salle de bain;14.8;13.0;36.0;468.0;2021.44;Terminée
INT-00301;DEV-00698;2023-12-25;2023-12;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;1.4;1.3;35.0;45.5;101.29;Terminée
INT-00302;DEV-00699;2023-12-04;2023-12;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;3.4;3.2;35.0;112.0;281.53;Terminée
INT-00303;DEV-00704;2023-11-29;2023-11;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Chauffage;11.6;11.1;36.0;399.6;2892.98;Terminée
INT-00304;DEV-00705;2023-12-05;2023-12;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Salle de bain;16.4;16.2;36.0;583.2;4853.14;Terminée
INT-00305;DEV-00706;2023-12-07;2023-12;2023-2024;TEC-09;Mehdi Ouali;Toulouse;Dépannage;1.6;2.0;28.0;56.0;118.19;Terminée
INT-00306;DEV-00709;2023-12-13;2023-12;2023-2024;TEC-04;Lucas Bertin;Bordeaux;Plomberie;4.2;5.7;27.0;153.9;561.0;Terminée
INT-00307;DEV-00711;2024-01-22;2024-01;2023-2024;TEC-08;Elodie Ravel;Toulouse;Électricité;7.4;8.6;32.0;275.2;1557.43;Terminée
INT-00308;DEV-00712;2023-12-19;2023-12;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;7.6;7.7;33.0;254.1;931.95;Terminée
INT-00309;DEV-00715;2023-12-20;2023-12;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Chauffage;9.1;8.6;36.0;309.6;1271.98;Terminée
INT-00310;DEV-00716;2024-01-11;2024-01;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Chauffage;31.9;29.6;36.0;1065.6;7257.14;Terminée
INT-00311;DEV-00717;2023-12-20;2023-12;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;1.5;1.4;35.0;49.0;101.34;Terminée
INT-00312;DEV-00720;2023-12-11;2023-12;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;11.8;12.1;35.0;423.5;3015.62;Terminée
INT-00313;DEV-00721;2023-12-22;2023-12;2023-2024;TEC-09;Mehdi Ouali;Toulouse;Dépannage;1.4;1.7;28.0;47.6;98.4;Terminée
INT-00314;DEV-00722;2024-01-08;2024-01;2023-2024;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;18.4;17.0;31.0;527.0;3426.42;Terminée
INT-00315;DEV-00726;2024-01-01;2024-01;2023-2024;TEC-04;Lucas Bertin;Bordeaux;Plomberie;14.4;20.6;27.0;556.2;1784.82;Terminée
INT-00316;DEV-00728;2024-01-08;2024-01;2023-2024;TEC-09;Mehdi Ouali;Toulouse;Dépannage;1.8;2.3;28.0;64.4;234.47;Terminée
INT-00317;DEV-00732;2023-12-13;2023-12;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Chauffage;12.0;10.4;36.0;374.4;5436.76;Terminée
INT-00318;DEV-00734;2023-12-14;2023-12;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;3.7;3.5;35.0;122.5;251.39;Terminée
INT-00319;DEV-00736;2023-12-27;2023-12;2023-2024;TEC-03;Fabien Ortiz;Bordeaux;Électricité;7.0;7.4;33.0;244.2;1063.27;Terminée
INT-00320;DEV-00737;2024-01-18;2024-01;2023-2024;TEC-09;Mehdi Ouali;Toulouse;Dépannage;1.4;1.9;28.0;53.2;104.03;Terminée
INT-00321;DEV-00741;2024-01-22;2024-01;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;29.0;24.8;35.0;868.0;9149.36;Terminée
INT-00322;DEV-00743;2023-12-25;2023-12;2023-2024;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;14.3;16.1;30.0;483.0;1855.57;Terminée
INT-00323;DEV-00746;2024-01-15;2024-01;2023-2024;TEC-06;Pierre Vasseur;Toulouse;Chauffage;3.6;3.4;36.0;122.4;267.68;Terminée
INT-00324;DEV-00747;2024-01-22;2024-01;2023-2024;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;50.9;50.2;30.0;1506.0;6635.77;Terminée
INT-00325;DEV-00750;2024-01-16;2024-01;2023-2024;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;3.9;3.9;35.0;136.5;553.05;Terminée
